WP Multibyte Patch,https://ru.wordpress.org/plugins/wp-multibyte-patch/,1+ млн активных установок,6.8.1
Cookie Notice & Compliance for GDPR / CCPA,https://ru.wordpress.org/plugins/cookie-notice/,1+ млн активных установок,6.8.1
Security Optimizer — The All-In-One Protection Plugin,https://ru.wordpress.org/plugins/sg-security/,1+ млн активных установок,6.8.1
Autoptimize,https://ru.wordpress.org/plugins/autoptimize/,1+ млн активных установок,6.8.1
Imagify Image Optimization — Оптимизация изображений | Сжатие изображений | Конвертация WebP | Конвертация AVIF,https://ru.wordpress.org/plugins/imagify/,900 000+ активных установок,6.8.1
Google for WooCommerce,https://ru.wordpress.org/plugins/google-listings-and-ads/,900 000+ активных установок,6.8.1
Breadcrumb NavXT,https://ru.wordpress.org/plugins/breadcrumb-navxt/,900 000+ активных установок,6.7.2
Smart Slider 3,https://ru.wordpress.org/plugins/smart-slider-3/,900 000+ активных установок,6.8.1
WooPayments: Integrated WooCommerce Payments,https://ru.wordpress.org/plugins/woocommerce-payments/,800 000+ активных установок,6.8.1
"Solid Security – Password, Two Factor Authentication, and Brute Force Protection",https://ru.wordpress.org/plugins/better-wp-security/,800 000+ активных установок,6.8.1
Polylang,https://ru.wordpress.org/plugins/polylang/,800 000+ активных установок,6.8.1
Translate WordPress with GTranslate,https://ru.wordpress.org/plugins/gtranslate/,800 000+ активных установок,6.8.1
"Website Builder by SeedProd — Theme Builder, Landing Page Builder, Coming Soon Page, Maintenance Mode",https://ru.wordpress.org/plugins/coming-soon/,800 000+ активных установок,6.8.1
Flamingo,https://ru.wordpress.org/plugins/flamingo/,800 000+ активных установок,6.5.5
WooCommerce Stripe Payment Gateway,https://ru.wordpress.org/plugins/woocommerce-gateway-stripe/,800 000+ активных установок,6.8.1
Premium Addons for Elementor,https://ru.wordpress.org/plugins/premium-addons-for-elementor/,700 000+ активных установок,6.8.1
"Migration, Backup, Staging – WPvivid Backup & Migration",https://ru.wordpress.org/plugins/wpvivid-backuprestore/,700 000+ активных установок,6.8.1
GTM4WP — A Google Tag Manager (GTM) plugin for WordPress,https://ru.wordpress.org/plugins/duracelltomi-google-tag-manager/,700 000+ активных установок,6.8.1
Antispam Bee,https://ru.wordpress.org/plugins/antispam-bee/,700 000+ активных установок,6.7.2
TablePress — Таблицы в WordPress сделать просто,https://ru.wordpress.org/plugins/tablepress/,700 000+ активных установок,6.8.1
Hello Dolly,https://ru.wordpress.org/plugins/hello-dolly/,700 000+ активных установок,6.8.1
User Role Editor,https://ru.wordpress.org/plugins/user-role-editor/,700 000+ активных установок,6.8.1
"Popup Maker — увеличивайте продажи, конверсию, количество подписчиков с помощью Ultimate WP Popups Builder",https://ru.wordpress.org/plugins/popup-maker/,700 000+ активных установок,6.8.1
Events Calendar,https://ru.wordpress.org/plugins/the-events-calendar/,700 000+ активных установок,6.8.1
Joinchat,https://ru.wordpress.org/plugins/creame-whatsapp-me/,700 000+ активных установок,6.8.1
"Sucuri Security — Auditing, Malware Scanner and Security Hardening",https://ru.wordpress.org/plugins/sucuri-scanner/,700 000+ активных установок,6.8.1
WooCommerce PayPal Payments,https://ru.wordpress.org/plugins/woocommerce-paypal-payments/,700 000+ активных установок,6.8.1
MainWP Child — Securely Connects to the MainWP Dashboard to Manage Multiple Sites,https://ru.wordpress.org/plugins/mainwp-child/,700 000+ активных установок,6.8.1
WooCommerce Tax (formerly WooCommerce Shipping & Tax),https://ru.wordpress.org/plugins/woocommerce-services/,700 000+ активных установок,6.8.1
Widgets for Google Reviews,https://ru.wordpress.org/plugins/wp-reviews-plugin-for-google/,700 000+ активных установок,6.8.1
Ninja Forms — The Contact Form Builder That Grows With You,https://ru.wordpress.org/plugins/ninja-forms/,700 000+ активных установок,6.8.1
Under Construction,https://ru.wordpress.org/plugins/under-construction-page/,700 000+ активных установок,6.8.1
Simple Custom CSS and JS,https://ru.wordpress.org/plugins/custom-css-js/,600 000+ активных установок,6.8.1
Post Types Order,https://ru.wordpress.org/plugins/post-types-order/,600 000+ активных установок,6.8.2
Click to Chat — HoliThemes,https://ru.wordpress.org/plugins/click-to-chat-for-whatsapp/,600 000+ активных установок,6.8.1
Disable Gutenberg,https://ru.wordpress.org/plugins/disable-gutenberg/,600 000+ активных установок,6.8.1
Enable Media Replace,https://ru.wordpress.org/plugins/enable-media-replace/,600 000+ активных установок,6.8.1
WP Statistics — The Most Popular Privacy-Friendly Analytics Plugin,https://ru.wordpress.org/plugins/wp-statistics/,600 000+ активных установок,6.8.1
Kirki Customizer Framework,https://ru.wordpress.org/plugins/kirki/,600 000+ активных установок,6.4.5
YITH WooCommerce Wishlist,https://ru.wordpress.org/plugins/yith-woocommerce-wishlist/,600 000+ активных установок,6.8.1
Meta Box,https://ru.wordpress.org/plugins/meta-box/,600 000+ активных установок,6.8.1
Header Footer Code Manager,https://ru.wordpress.org/plugins/header-footer-code-manager/,600 000+ активных установок,6.8.1
Royal Elementor Addons and Templates,https://ru.wordpress.org/plugins/royal-elementor-addons/,600 000+ активных установок,6.8.1
Contact Form 7 Database Addon — CFDB7,https://ru.wordpress.org/plugins/contact-form-cfdb7/,600 000+ активных установок,6.8.1
Broken Link Checker,https://ru.wordpress.org/plugins/broken-link-checker/,600 000+ активных установок,6.8.1
Ocean Extra,https://ru.wordpress.org/plugins/ocean-extra/,600 000+ активных установок,6.8.1
"Slider, Gallery, and Carousel by MetaSlider — Image Slider, Video Slider",https://ru.wordpress.org/plugins/ml-slider/,600 000+ активных установок,6.8.1
"Forminator Forms – Contact Form, Payment Form & Custom Form Builder",https://ru.wordpress.org/plugins/forminator/,600 000+ активных установок,6.8.1
"Easy WP SMTP — WordPress SMTP и журналы электронной почты: Gmail, Office 365, Outlook, произвольный SMTP-сервер и многое другое",https://ru.wordpress.org/plugins/easy-wp-smtp/,500 000+ активных установок,6.8.1
Easy Table of Contents,https://ru.wordpress.org/plugins/easy-table-of-contents/,500 000+ активных установок,6.8.1
"Fluent Forms — Customizable Contact Forms, Survey, Quiz, & Conversational Form Builder",https://ru.wordpress.org/plugins/fluentform/,500 000+ активных установок,6.8.1
"MailPoet — рассылки, маркетинг и автоматизация электронной почты",https://ru.wordpress.org/plugins/mailpoet/,500 000+ активных установок,6.8.1
SiteGuard WP Plugin,https://ru.wordpress.org/plugins/siteguard/,500 000+ активных установок,6.8.1
Page Builder от SiteOrigin,https://ru.wordpress.org/plugins/siteorigin-panels/,500 000+ активных установок,6.8.1
BackWPup – плагин для резервного копирования и восстановления WordPress,https://ru.wordpress.org/plugins/backwpup/,500 000+ активных установок,6.8.1
"LightStart — Режим обслуживания, Скоро и Страница входа",https://ru.wordpress.org/plugins/wp-maintenance-mode/,500 000+ активных установок,6.8.1
WP-PageNavi,https://ru.wordpress.org/plugins/wp-pagenavi/,500 000+ активных установок,6.7.2
"Backuply — Backup, Restore, Migrate and Clone",https://ru.wordpress.org/plugins/backuply/,500 000+ активных установок,6.8.1
Category Order and Taxonomy Terms Order,https://ru.wordpress.org/plugins/taxonomy-terms-order/,500 000+ активных установок,6.8.2
Facebook for WooCommerce,https://ru.wordpress.org/plugins/facebook-for-woocommerce/,500 000+ активных установок,6.8.1
"MetForm — Contact Form, Survey, Quiz, & Custom Form Builder for Elementor",https://ru.wordpress.org/plugins/metform/,500 000+ активных установок,6.8.1
Gutenberg Blocks with AI by Kadence WP – Page Builder Features,https://ru.wordpress.org/plugins/kadence-blocks/,500 000+ активных установок,6.8.1
WP Shortcodes Plugin — Shortcodes Ultimate,https://ru.wordpress.org/plugins/shortcodes-ultimate/,500 000+ активных установок,6.8.1
Converter for Media — Оптимизация изображений | Конвертация WebP и AVIF,https://ru.wordpress.org/plugins/webp-converter-for-media/,500 000+ активных установок,6.8.1
SiteOrigin Widgets Bundle,https://ru.wordpress.org/plugins/so-widgets-bundle/,500 000+ активных установок,6.8.1
PixelYourSite — Your smart PIXEL (TAG) & API Manager,https://ru.wordpress.org/plugins/pixelyoursite/,500 000+ активных установок,6.8.1
Checkout Field Editor (Checkout Manager) for WooCommerce,https://ru.wordpress.org/plugins/woo-checkout-field-editor-pro/,500 000+ активных установок,6.8.1
GA Google Analytics – Connect Google Analytics to WordPress,https://ru.wordpress.org/plugins/ga-google-analytics/,500 000+ активных установок,6.8.1
AMP,https://ru.wordpress.org/plugins/amp/,500 000+ активных установок,6.8.1
WooCommerce Legacy REST API,https://ru.wordpress.org/plugins/woocommerce-legacy-rest-api/,400 000+ активных установок,
"SpeedyCache — Cache, Optimization, Performance",https://ru.wordpress.org/plugins/speedycache/,400 000+ активных установок,6.8.1
Font Awesome,https://ru.wordpress.org/plugins/font-awesome/,400 000+ активных установок,6.8.1
Creative Mail — упрощенный маркетинг по электронной почте для WordPress и WooCommerce.,https://ru.wordpress.org/plugins/creative-mail-by-constant-contact/,400 000+ активных установок,6.5.5
Meta pixel for WordPress,https://ru.wordpress.org/plugins/official-facebook-pixel/,400 000+ активных установок,6.8.1
Extendify,https://ru.wordpress.org/plugins/extendify/,400 000+ активных установок,6.8.1
"Photo Gallery, Sliders, Proofing and Themes — NextGEN Gallery",https://ru.wordpress.org/plugins/nextgen-gallery/,400 000+ активных установок,6.8.1
Happy Addons for Elementor,https://ru.wordpress.org/plugins/happy-elementor-addons/,400 000+ активных установок,6.8.1
"FluentSMTP — WP SMTP Plugin с Amazon SES, SendGrid, MailGun, Postmark, Google и любым другим SMTP-провайдером",https://ru.wordpress.org/plugins/fluent-smtp/,400 000+ активных установок,6.7.2
Breeze — плагин кэширования для WordPress,https://ru.wordpress.org/plugins/breeze/,400 000+ активных установок,6.8.1
Max Mega Menu,https://ru.wordpress.org/plugins/megamenu/,400 000+ активных установок,6.8.1
Templately – Elementor & Gutenberg Template Library: 5500+ Free & Pro Ready Templates And Cloud!,https://ru.wordpress.org/plugins/templately/,400 000+ активных установок,6.8.1
CoBlocks — конструктор страниц Блоки Gutenberg,https://ru.wordpress.org/plugins/coblocks/,400 000+ активных установок,6.8.1
Intuitive Custom Post Order,https://ru.wordpress.org/plugins/intuitive-custom-post-order/,400 000+ активных установок,6.4.5
WebP Express,https://ru.wordpress.org/plugins/webp-express/,400 000+ активных установок,6.5.5
GoSMTP — SMTP for WordPress,https://ru.wordpress.org/plugins/gosmtp/,400 000+ активных установок,6.7.2
WP Reset — Самый продвинутый инструмент сброса WordPress,https://ru.wordpress.org/plugins/wp-reset/,400 000+ активных установок,6.8.1
Really Simple CAPTCHA,https://ru.wordpress.org/plugins/really-simple-captcha/,400 000+ активных установок,6.7.2
Admin Menu Editor,https://ru.wordpress.org/plugins/admin-menu-editor/,400 000+ активных установок,6.8.1
"Post SMTP — WP SMTP Plugin with Email Logs and Mobile App for Failure Notifications — Gmail SMTP, Office 365, Brevo, Mailgun, Amazon SES and more",https://ru.wordpress.org/plugins/post-smtp/,400 000+ активных установок,6.8.1
Honeypot for Contact Form 7 — Protect Contact Form 7 spam with ease! [100% FREE Anti-Spam Plugin],https://ru.wordpress.org/plugins/contact-form-7-honeypot/,400 000+ активных установок,6.7.2
Page Builder: PageLayer — конструктор веб-сайтов с помощью перетаскивания,https://ru.wordpress.org/plugins/pagelayer/,400 000+ активных установок,6.8.1
Limit Login Attempts,https://ru.wordpress.org/plugins/limit-login-attempts/,400 000+ активных установок,6.2.6
Translate Multilingual sites — TranslatePress,https://ru.wordpress.org/plugins/translatepress-multilingual/,300 000+ активных установок,6.8.1
ExactMetrics — консоль Google Analytics для WordPress (плагин статистики веб-сайта),https://ru.wordpress.org/plugins/google-analytics-dashboard-for-wp/,300 000+ активных установок,6.8.1
Custom Fonts — Host Your Fonts Locally,https://ru.wordpress.org/plugins/custom-fonts/,300 000+ активных установок,6.8.1
Duplicate Post,https://ru.wordpress.org/plugins/copy-delete-posts/,300 000+ активных установок,6.8.1
CMB2,https://ru.wordpress.org/plugins/cmb2/,300 000+ активных установок,6.4.5
"Formidable Forms — Contact Form Plugin, Survey, Quiz, Payment, Calculator Form & Custom Form Builder",https://ru.wordpress.org/plugins/formidable/,300 000+ активных установок,6.8.1
AddToAny Share Buttons,https://ru.wordpress.org/plugins/add-to-any/,300 000+ активных установок,6.8.1
Mailchimp for WooCommerce,https://ru.wordpress.org/plugins/mailchimp-for-woocommerce/,300 000+ активных установок,6.8.1
"Floating Chat Widget: Contact Chat Icons, Telegram Chat, Line Messenger, WeChat, Email, SMS, Call Button, WhatsApp – Chaty",https://ru.wordpress.org/plugins/chaty/,300 000+ активных установок,6.8.1
"Блоки Otter — блоки Gutenberg, конструктор страниц для редактора Gutenberg и FSE",https://ru.wordpress.org/plugins/otter-blocks/,300 000+ активных установок,6.8.1
Pinterest for WooCommerce,https://ru.wordpress.org/plugins/pinterest-for-woocommerce/,300 000+ активных установок,6.8.1
SiteSEO — SEO Simplified,https://ru.wordpress.org/plugins/siteseo/,300 000+ активных установок,6.8.1
PDF Invoices & Packing Slips for WooCommerce,https://ru.wordpress.org/plugins/woocommerce-pdf-invoices-packing-slips/,300 000+ активных установок,6.8.1
